origin,destination,distance,duration
1812 E PASSYUNK AVE,4355 Paul St,15068,1423
1200 ARCH ST,769 N 39th St,4690,884
900 E Howell St,1510 W Oxford St,11237,1504
180 E Tulpehocken St,4355 Paul St,11071,1553
1200 ARCH ST,2000 N 11th St,3568,753
1200 ARCH ST,3223 W Clifford St,6189,862
1429 W Clearfield St,4700 Wyalusing Ave.,7623,1228
1200 ARCH ST,4520 Benner St,13828,1217
1200 ARCH ST,2455 S. 3rd Street,7612,921
1200 ARCH ST,935 S 53rd St,9733,1215
2059 E Chelten Ave,1801 W Diamond St,12764,1518
935 S 53rd St,4355 Paul St,19378,1646
900 E Howell St,3001 Walnut St.,18985,1528
1812 E PASSYUNK AVE,4700 Wyalusing Ave.,11228,1372
935 S 53rd St,1419 Wharton St,5816,1018
6434 Castor Ave,704 W Girard Ave,15664,1479
935 S 53rd St,704 W Girard Ave,10822,1381
6434 Castor Ave,2000 N 11th St,10821,1536
1200 ARCH ST,1419 Wharton St,2730,672
1429 W Clearfield St,935 S 53rd St,17438,1619
6434 Castor Ave,1801 W Diamond St,11728,1544
2000 N 11th St,4520 Benner St,13018,1504
3223 W Clifford St,4520 Benner St,19646,1479
2059 E Chelten Ave,180 E Tulpehocken St,12831,1719
1200 ARCH ST,4667 Paul St.,12941,1192
900 E Howell St,704 W Girard Ave,15556,1542
3223 W Clifford St,2703 Tasker St,8992,1023
1200 ARCH ST,3001 Walnut St.,2758,694
935 S 53rd St,2455 S. 3rd Street,10853,1187
3223 W Clifford St,900 E Howell St,13903,1353
2000 N 11th St,900 E Howell St,10028,1395
1812 E PASSYUNK AVE,1429 W Clearfield St,8788,1645
2000 N 11th St,2059 E Chelten Ave,12066,1396
2000 N 11th St,769 N 39th St,6818,1103
2059 E Chelten Ave,4667 Paul St.,2839,540
900 E Howell St,2703 Tasker St,21710,1732
3223 W Clifford St,6500 Castor Ave,14960,1402
1200 ARCH ST,4355 Paul St,11751,1036
1200 ARCH ST,1510 W Oxford St,3609,734
935 S 53rd St,2059 E Chelten Ave,20504,1720
1200 ARCH ST,4700 Wyalusing Ave.,7156,1085
2000 N 11th St,1419 Wharton St,6681,1346
2059 E Chelten Ave,769 N 39th St,15841,1262
169 W. Wyoming Ave.,935 S 53rd St,19418,1443
6434 Castor Ave,4700 Wyalusing Ave.,18016,1526
6434 Castor Ave,3001 Walnut St.,19994,1629
2059 E Chelten Ave,2703 Tasker St,18284,1378
537 E. Wyoming Ave.,4700 Wyalusing Ave.,14085,1206
935 S 53rd St,2000 N 11th St,11251,1567
935 S 53rd St,4520 Benner St,21456,1827
180 E Tulpehocken St,4520 Benner St,12911,1654
935 S 53rd St,169 W. Wyoming Ave.,19219,1501
900 E Howell St,1419 Wharton St,18427,1873
180 E Tulpehocken St,1801 W Diamond St,8937,1381
4520 Benner St,935 S 53rd St,20530,1629
1200 ARCH ST,2059 E Chelten Ave,12877,1110
2000 N 11th St,6027 Chestnut St,10231,1774
935 S 53rd St,6500 Castor Ave,24547,2070
3223 W Clifford St,4355 Paul St,17568,1298
2000 N 11th St,1220 S. 58th St,13792,1745
1200 ARCH ST,6027 Chestnut St,8366,1446
537 E. Wyoming Ave.,935 S 53rd St,20491,1664
900 E Howell St,5901 Larchwood Ave,18919,2029
3223 W Clifford St,935 S 53rd St,7729,1198
1200 ARCH ST,8398 Lindbergh Blvd,16891,1246
935 S 53rd St,735 W. Butler St.,19309,1599
1200 ARCH ST,169 W. Wyoming Ave.,15474,1179
935 S 53rd St,1429 W Clearfield St,19543,1735
2000 N 11th St,6500 Castor Ave,10497,1418
1200 ARCH ST,1429 W Clearfield St,6152,1073
2059 E Chelten Ave,704 W Girard Ave,12445,1028
935 S 53rd St,900 E Howell St,23490,2020
2059 E Chelten Ave,8398 Lindbergh Blvd,25950,1409
935 S 53rd St,1801 W Diamond St,12123,1577
1200 ARCH ST,100 E. Lehigh Ave.,7781,1051
935 S 53rd St,1510 W Oxford St,10382,1446
4164 BARNETT ST,935 S 53rd St,21291,1728
6434 Castor Ave,8398 Lindbergh Blvd,29168,1860
1200 ARCH ST,900 E Howell St,16046,1644
6434 Castor Ave,935 S 53rd St,24423,1984
935 S 53rd St,100 E. Lehigh Ave.,15409,1661
2000 N 11th St,2703 Tasker St,10528,1413
935 S 53rd St,180 E Tulpehocken St,19623,1741
900 E Howell St,935 S 53rd St,23414,1882
1200 ARCH ST,1220 S. 58th St,11293,1396
2059 E Chelten Ave,2000 N 11th St,13781,1270
1200 ARCH ST,1801 W Diamond St,4774,930
1200 ARCH ST,5901 Larchwood Ave,8332,1474
180 E Tulpehocken St,2000 N 11th St,9167,1425
3223 W Clifford St,521-23 W. Lehigh Ave.,4445,816
2059 E Chelten Ave,521-23 W. Lehigh Ave.,9797,1139
2059 E Chelten Ave,1419 Wharton St,15317,1359
2000 N 11th St,5901 Larchwood Ave,11527,1852
2059 E Chelten Ave,3001 Walnut St.,15518,1218
2059 E Chelten Ave,100 E. Lehigh Ave.,9016,1026
1200 ARCH ST,180 E Tulpehocken St,15877,1418
1200 ARCH ST,3101 Ridge Ave.,7091,927
1812 E PASSYUNK AVE,935 S 53rd St,7012,1172
1200 ARCH ST,6434 Castor Ave,15998,1530
6434 Castor Ave,1419 Wharton St,18535,1810
935 S 53rd St,521-23 W. Lehigh Ave.,13156,1812
1200 ARCH ST,6500 Castor Ave,16069,1527
2059 E Chelten Ave,3101 Ridge Ave.,17848,1304
2059 E Chelten Ave,935 S 53rd St,19989,1528
769 N 39th St,4700 Wyalusing Ave.,1733,314
935 S 53rd St,8398 Lindbergh Blvd,8175,1001
2059 E Chelten Ave,2530 Wharton St,18001,1316
2059 E Chelten Ave,1510 W Oxford St,11599,1322
1200 ARCH ST,521-23 W. Lehigh Ave.,5468,1053
1200 ARCH ST,537 E. Wyoming Ave.,17278,1370
935 S 53rd St,6434 Castor Ave,24547,2076
180 E Tulpehocken St,935 S 53rd St,19297,1649
6434 Castor Ave,6027 Chestnut St,19459,1972
2059 E Chelten Ave,1220 S. 58th St,21549,1709
2000 N 11th St,8398 Lindbergh Blvd,21363,1578
139 N 63RD ST,4355 Paul St,19992,1859
2059 E Chelten Ave,3223 W Clifford St,16886,1174
2059 E Chelten Ave,4700 Wyalusing Ave.,17854,1397
2059 E Chelten Ave,5901 Larchwood Ave,21270,1762
6434 Castor Ave,1220 S. 58th St,25983,2165
935 S 53rd St,3223 W Clifford St,9934,1184
2000 N 11th St,935 S 53rd St,12232,1564
900 E Howell St,169 W. Wyoming Ave.,4616,618
769 N 39th St,935 S 53rd St,4668,801
935 S 53rd St,537 E. Wyoming Ave.,21023,1693
935 S 53rd St,4667 Paul St.,20569,1802
1200 ARCH ST,735 W. Butler St.,15564,1276
5039 FRANKFORD AVE,900 E Howell St,2452,460
912-28 WALNUT ST,3001 Walnut St.,2355,649
5039 FRANKFORD AVE,6434 Castor Ave,2587,455
912-28 WALNUT ST,704 W Girard Ave,3219,727
401 N 64TH ST,4700 Wyalusing Ave.,2783,481
5039 FRANKFORD AVE,6500 Castor Ave,2683,459
3447 N 2ND ST,521-23 W. Lehigh Ave.,1891,305
5039 FRANKFORD AVE,537 E. Wyoming Ave.,3984,546
912-28 WALNUT ST,2455 S. 3rd Street,4280,933
1307-09 W NEDRO AVE,169 W. Wyoming Ave.,3640,623
5039 FRANKFORD AVE,4355 Paul St,2068,432
2006 ORTHODOX ST,6434 Castor Ave,4156,736
912-28 WALNUT ST,1419 Wharton St,2523,558
1307-09 W NEDRO AVE,735 W. Butler St.,4226,760
5039 FRANKFORD AVE,2059 E Chelten Ave,1981,304
912-28 WALNUT ST,2530 Wharton St,4327,861
5039 FRANKFORD AVE,4520 Benner St,2395,389
912-28 WALNUT ST,769 N 39th St,5398,1027
769 E HILTON ST,3101 Ridge Ave.,6691,1173
1307-09 W NEDRO AVE,521-23 W. Lehigh Ave.,7018,1175
912-28 WALNUT ST,4700 Wyalusing Ave.,7633,1228
912-28 WALNUT ST,169 W. Wyoming Ave.,15951,1321
5039 FRANKFORD AVE,521-23 W. Lehigh Ave.,6955,1237
912-28 WALNUT ST,521-23 W. Lehigh Ave.,6095,1148
912-28 WALNUT ST,6027 Chestnut St,7726,1397
2847-67 HOLME AVE,900 E Howell St,7168,854
1307-09 W NEDRO AVE,4355 Paul St,8286,1234
1307-09 W NEDRO AVE,180 E Tulpehocken St,4714,688
2847-67 HOLME AVE,6434 Castor Ave,5620,712
401 N 64TH ST,3001 Walnut St.,6703,1017
1307-09 W NEDRO AVE,537 E. Wyoming Ave.,4806,753
5039 FRANKFORD AVE,2530 Wharton St,18537,1449
3447 N 2ND ST,6434 Castor Ave,7647,1053
5039 FRANKFORD AVE,735 W. Butler St.,7209,995
912-28 WALNUT ST,1220 S. 58th St,9028,1467
1307-09 W NEDRO AVE,6500 Castor Ave,7715,1072
1307-09 W NEDRO AVE,3101 Ridge Ave.,10018,1065
1307-09 W NEDRO AVE,4700 Wyalusing Ave.,14410,1288
2847-67 HOLME AVE,169 W. Wyoming Ave.,10613,1162
769 E HILTON ST,3001 Walnut St.,12935,1330
1126-36 ARCH ST,169 W. Wyoming Ave.,15879,1126
5039 FRANKFORD AVE,1419 Wharton St,15853,1492
2847-67 HOLME AVE,6500 Castor Ave,5620,723
391 LYCEUM AVE,900 E Howell St,13770,1438
3447 N 2ND ST,4700 Wyalusing Ave.,15075,1467
912-28 WALNUT ST,1510 W Oxford St,4046,855
3447 N 2ND ST,180 E Tulpehocken St,8198,1317
912-28 WALNUT ST,3101 Ridge Ave.,7799,1071
5039 FRANKFORD AVE,2455 S. 3rd Street,17207,1217
1126-36 ARCH ST,4355 Paul St,11642,991
391 LYCEUM AVE,769 N 39th St,9770,973
2847-67 HOLME AVE,2059 E Chelten Ave,6806,827
912-28 WALNUT ST,8398 Lindbergh Blvd,14258,1355
769 E HILTON ST,6500 Castor Ave,6713,924
391 LYCEUM AVE,1220 S. 58th St,18364,1689
401 N 64TH ST,169 W. Wyoming Ave.,14829,1377
391 LYCEUM AVE,2455 S. 3rd Street,20625,1476
2847-67 HOLME AVE,537 E. Wyoming Ave.,9687,1067
401 N 64TH ST,1510 W Oxford St,8205,1517
3447 N 2ND ST,1510 W Oxford St,4880,768
912-28 WALNUT ST,2059 E Chelten Ave,13362,1184
912-28 WALNUT ST,4355 Paul St,12236,1110
1307-09 W NEDRO AVE,769 N 39th St,13783,1213
1307-09 W NEDRO AVE,2530 Wharton St,18829,1534
2847-67 HOLME AVE,4520 Benner St,6439,812
912-28 WALNUT ST,6434 Castor Ave,16483,1605
1307-09 W NEDRO AVE,6434 Castor Ave,7690,1072
5039 FRANKFORD AVE,704 W Girard Ave,12982,1161
912-28 WALNUT ST,735 W. Butler St.,16041,1419
618 SOUTH ST,2530 Wharton St,4370,875
5039 FRANKFORD AVE,4667 Paul St.,1122,291
2847-67 HOLME AVE,4355 Paul St,14525,1070
1307-09 W NEDRO AVE,900 E Howell St,7323,981
217 E WESTMORELAND ST,521-23 W. Lehigh Ave.,2130,391
2847-67 HOLME AVE,180 E Tulpehocken St,16492,1891
5039 FRANKFORD AVE,169 W. Wyoming Ave.,5263,746
912-28 WALNUT ST,537 E. Wyoming Ave.,15405,1454
618 SOUTH ST,735 W. Butler St.,8511,1572
1307-09 W NEDRO AVE,4520 Benner St,10126,1335
912-28 WALNUT ST,180 E Tulpehocken St,16354,1561
5039 FRANKFORD AVE,180 E Tulpehocken St,11142,1474
1307-09 W NEDRO AVE,3001 Walnut St.,16388,1392
217 E WESTMORELAND ST,2530 Wharton St,14157,1464
391 LYCEUM AVE,3001 Walnut St.,12375,1153
5039 FRANKFORD AVE,8398 Lindbergh Blvd,26486,1542
912-28 WALNUT ST,6500 Castor Ave,16554,1601
5039 FRANKFORD AVE,1510 W Oxford St,12135,1456
618 SOUTH ST,2455 S. 3rd Street,3174,666
1307-09 W NEDRO AVE,2059 E Chelten Ave,9495,1328
5039 FRANKFORD AVE,3001 Walnut St.,16055,1351
401 N 64TH ST,2455 S. 3rd Street,17080,1645
912-28 WALNUT ST,900 E Howell St,16531,1718
401 N 64TH ST,900 E Howell St,19100,1896
5039 FRANKFORD AVE,3101 Ridge Ave.,13262,1329
5039 FRANKFORD AVE,769 N 39th St,16377,1396
1307-09 W NEDRO AVE,1419 Wharton St,19149,1753
912-28 WALNUT ST,4520 Benner St,14313,1291
2847-67 HOLME AVE,769 N 39th St,25271,1678
618 SOUTH ST,3001 Walnut St.,3825,776
1307-09 W NEDRO AVE,704 W Girard Ave,9374,1497
5039 FRANKFORD AVE,4700 Wyalusing Ave.,17654,1552
217 E WESTMORELAND ST,537 E. Wyoming Ave.,3141,475
618 SOUTH ST,704 W Girard Ave,3959,727
618 SOUTH ST,769 N 39th St,7260,1126
2847-67 HOLME AVE,1419 Wharton St,24747,1775
2847-67 HOLME AVE,8398 Lindbergh Blvd,35380,1825
618 SOUTH ST,6434 Castor Ave,16390,1597
618 SOUTH ST,1419 Wharton St,2449,564
1307-09 W NEDRO AVE,6027 Chestnut St,15853,1735
2847-67 HOLME AVE,4667 Paul St.,8357,1100
2847-67 HOLME AVE,2455 S. 3rd Street,26101,1500
2847-67 HOLME AVE,1510 W Oxford St,21029,1738
2847-67 HOLME AVE,735 W. Butler St.,12820,1448
5039 FRANKFORD AVE,6027 Chestnut St,22220,1921
217 E WESTMORELAND ST,900 E Howell St,7090,983
217 E WESTMORELAND ST,2455 S. 3rd Street,12827,1232
618 SOUTH ST,1510 W Oxford St,5550,1008
217 E WESTMORELAND ST,169 W. Wyoming Ave.,2877,497
217 E WESTMORELAND ST,4355 Paul St,4911,815
2847-67 HOLME AVE,521-23 W. Lehigh Ave.,19227,1555
618 SOUTH ST,4700 Wyalusing Ave.,9273,1261
618 SOUTH ST,3101 Ridge Ave.,9267,1168
912-28 WALNUT ST,4667 Paul St.,13426,1266
618 SOUTH ST,521-23 W. Lehigh Ave.,5933,1078
401 N 64TH ST,8398 Lindbergh Blvd,11541,1473
3447 N 2ND ST,537 E. Wyoming Ave.,3228,516
1730 W CHELTENHAM AVE,6434 Castor Ave,7620,913
618 SOUTH ST,6027 Chestnut St,9196,1524
217 E WESTMORELAND ST,735 W. Butler St.,2966,523
1730 W CHELTENHAM AVE,537 E. Wyoming Ave.,6978,855
1730 W CHELTENHAM AVE,900 E Howell St,7253,822
618 SOUTH ST,169 W. Wyoming Ave.,17590,1354
2847-67 HOLME AVE,704 W Girard Ave,21875,1444
1730 W CHELTENHAM AVE,180 E Tulpehocken St,4245,702
1307-09 W NEDRO AVE,1220 S. 58th St,22377,1928
618 SOUTH ST,4667 Paul St.,13333,1259
1307-09 W NEDRO AVE,4667 Paul St.,7772,1174
1730 W CHELTENHAM AVE,4355 Paul St,9008,1230
618 SOUTH ST,1220 S. 58th St,9808,1563
1730 W CHELTENHAM AVE,6500 Castor Ave,7645,912
1307-09 W NEDRO AVE,8398 Lindbergh Blvd,27608,1817
217 E WESTMORELAND ST,4667 Paul St.,5366,924
1307-09 W NEDRO AVE,2455 S. 3rd Street,24638,1715
2847-67 HOLME AVE,3101 Ridge Ave.,18612,1745
618 SOUTH ST,4355 Paul St,12143,1103
217 E WESTMORELAND ST,769 N 39th St,14681,1358
217 E WESTMORELAND ST,704 W Girard Ave,4911,884
217 E WESTMORELAND ST,4520 Benner St,8486,1206
2847-67 HOLME AVE,3001 Walnut St.,24948,1633
217 E WESTMORELAND ST,1429 W Clearfield St,2763,491
2847-67 HOLME AVE,2530 Wharton St,27431,1732
1730 W CHELTENHAM AVE,169 W. Wyoming Ave.,6049,822
5039 FRANKFORD AVE,1220 S. 58th St,22085,1843
3447 N 2ND ST,4355 Paul St,5022,853
618 SOUTH ST,537 E. Wyoming Ave.,15313,1446
3447 N 2ND ST,735 W. Butler St.,2387,499
217 E WESTMORELAND ST,3101 Ridge Ave.,5583,954
217 E WESTMORELAND ST,2059 E Chelten Ave,7534,1099
217 E WESTMORELAND ST,180 E Tulpehocken St,8579,1319
217 E WESTMORELAND ST,1510 W Oxford St,5119,839
1126-36 ARCH ST,3001 Walnut St.,2934,716
1307-09 W NEDRO AVE,1510 W Oxford St,8048,1287
217 E WESTMORELAND ST,3001 Walnut St.,11675,1365
618 SOUTH ST,180 E Tulpehocken St,17994,1594
2847-67 HOLME AVE,4700 Wyalusing Ave.,27284,1813
217 E WESTMORELAND ST,6434 Castor Ave,7559,1012
618 SOUTH ST,900 E Howell St,16438,1711
1126-36 ARCH ST,2455 S. 3rd Street,8590,835
1730 W CHELTENHAM AVE,4667 Paul St.,8494,1170
2847-67 HOLME AVE,1220 S. 58th St,30979,2125
3447 N 2ND ST,704 W Girard Ave,4673,799
1126-36 ARCH ST,704 W Girard Ave,2673,560
3447 N 2ND ST,4667 Paul St.,5476,962
1730 W CHELTENHAM AVE,2059 E Chelten Ave,10207,1321
217 E WESTMORELAND ST,1419 Wharton St,11473,1507
618 SOUTH ST,4520 Benner St,14221,1284
3447 N 2ND ST,169 W. Wyoming Ave.,3128,508
1730 W CHELTENHAM AVE,3001 Walnut St.,18174,1660
1126-36 ARCH ST,3101 Ridge Ave.,7253,904
1730 W CHELTENHAM AVE,2530 Wharton St,20615,1802
217 E WESTMORELAND ST,6500 Castor Ave,7560,1005
3447 N 2ND ST,1429 W Clearfield St,2525,420
769 E HILTON ST,537 E. Wyoming Ave.,3254,482
391 LYCEUM AVE,2059 E Chelten Ave,16000,1684
128-30 CHESTNUT ST,2455 S. 3rd Street,6166,564
618 SOUTH ST,2059 E Chelten Ave,13269,1176
3447 N 2ND ST,2530 Wharton St,14741,1528
128-30 CHESTNUT ST,704 W Girard Ave,3641,686
769 E HILTON ST,1429 W Clearfield St,3871,710
1730 W CHELTENHAM AVE,769 N 39th St,15570,1480
3447 N 2ND ST,900 E Howell St,7177,1024
128-30 CHESTNUT ST,769 N 39th St,9233,1005
618 SOUTH ST,935 S 53rd St,8248,1382
618 SOUTH ST,6500 Castor Ave,16462,1593
128-30 CHESTNUT ST,1419 Wharton St,4013,850
2847-67 HOLME AVE,6027 Chestnut St,31113,2204
3447 N 2ND ST,6500 Castor Ave,7647,1046
3447 N 2ND ST,1419 Wharton St,12057,1571
217 E WESTMORELAND ST,6027 Chestnut St,16750,1880
3447 N 2ND ST,2059 E Chelten Ave,6996,1152
769 E HILTON ST,900 E Howell St,6243,902
1126-36 ARCH ST,935 S 53rd St,9696,1164
3447 N 2ND ST,4520 Benner St,7647,1271
1519 REED ST,2455 S. 3rd Street,3728,787
1730 W CHELTENHAM AVE,704 W Girard Ave,11883,1763
1126-36 ARCH ST,769 N 39th St,4852,861
3447 N 2ND ST,3101 Ridge Ave.,5345,883
1126-36 ARCH ST,1510 W Oxford St,3500,689
1730 W CHELTENHAM AVE,4520 Benner St,10843,1328
1126-36 ARCH ST,3223 W Clifford St,5048,823
912-28 WALNUT ST,935 S 53rd St,7468,1285
618 SOUTH ST,8398 Lindbergh Blvd,15163,1177
5039 FRANKFORD AVE,1429 W Clearfield St,8415,1146
3447 N 2ND ST,2455 S. 3rd Street,13411,1296
128-30 CHESTNUT ST,3001 Walnut St.,3845,1028
1730 W CHELTENHAM AVE,521-23 W. Lehigh Ave.,9972,1401
3447 N 2ND ST,769 N 39th St,9118,1374
1126-36 ARCH ST,1419 Wharton St,3168,763
3447 N 2ND ST,3001 Walnut St.,12259,1430
1126-36 ARCH ST,4667 Paul St.,12832,1147
3447 N 2ND ST,8398 Lindbergh Blvd,22690,1621
769 E HILTON ST,169 W. Wyoming Ave.,3988,621
769 E HILTON ST,2059 E Chelten Ave,5286,922
5039 FRANKFORD AVE,935 S 53rd St,20525,1661
912-28 WALNUT ST,1429 W Clearfield St,6589,1194
1519 REED ST,3223 W Clifford St,9687,1093
1730 W CHELTENHAM AVE,1419 Wharton St,20936,2021
1126-36 ARCH ST,6027 Chestnut St,8542,1468
618 SOUTH ST,3223 W Clifford St,8305,1037
769 E HILTON ST,735 W. Butler St.,4073,651
128-30 CHESTNUT ST,4700 Wyalusing Ave.,11246,1139
128-30 CHESTNUT ST,3223 W Clifford St,10278,916
1730 W CHELTENHAM AVE,4700 Wyalusing Ave.,16197,1556
217 E WESTMORELAND ST,935 S 53rd St,16145,1676
769 E HILTON ST,704 W Girard Ave,5416,1060
1307-09 W NEDRO AVE,1429 W Clearfield St,5302,874
1730 W CHELTENHAM AVE,8398 Lindbergh Blvd,29394,2084
912-28 WALNUT ST,3223 W Clifford St,5594,989
769 E HILTON ST,2530 Wharton St,15418,1428
217 E WESTMORELAND ST,4700 Wyalusing Ave.,15308,1434
1730 W CHELTENHAM AVE,735 W. Butler St.,7065,1080
2847-67 HOLME AVE,935 S 53rd St,29419,1944
769 E HILTON ST,3223 W Clifford St,7298,1297
1730 W CHELTENHAM AVE,1510 W Oxford St,10556,1554
769 E HILTON ST,4355 Paul St,3312,615
1126-36 ARCH ST,4520 Benner St,13720,1172
769 E HILTON ST,769 N 39th St,13258,1375
1126-36 ARCH ST,900 E Howell St,15937,1598
3447 N 2ND ST,100 E. Lehigh Ave.,1984,382
217 E WESTMORELAND ST,3223 W Clifford St,6191,1078
128-30 CHESTNUT ST,8398 Lindbergh Blvd,15445,889
1730 W CHELTENHAM AVE,6027 Chestnut St,17639,2003
128-30 CHESTNUT ST,2530 Wharton St,15014,1030
3447 N 2ND ST,6027 Chestnut St,16517,1914
217 E WESTMORELAND ST,100 E. Lehigh Ave.,1397,317
128-30 CHESTNUT ST,1510 W Oxford St,5233,966
1126-36 ARCH ST,4700 Wyalusing Ave.,7562,1033
1730 W CHELTENHAM AVE,3101 Ridge Ave.,11804,1333
769 E HILTON ST,6434 Castor Ave,6713,931
769 E HILTON ST,4520 Benner St,5937,1041
2847-67 HOLME AVE,3223 W Clifford St,26317,1590
769 E HILTON ST,2455 S. 3rd Street,14088,1196
5039 FRANKFORD AVE,3223 W Clifford St,17423,1307
128-30 CHESTNUT ST,3101 Ridge Ave.,11240,1046
1126-36 ARCH ST,2000 N 11th St,3460,708
5041 TORRESDALE AVE,4520 Benner St,1574,299
1307-09 W NEDRO AVE,935 S 53rd St,20817,1747
1126-36 ARCH ST,2059 E Chelten Ave,12768,1064
128-30 CHESTNUT ST,169 W. Wyoming Ave.,19563,1233
1126-36 ARCH ST,1220 S. 58th St,11257,1345
217 E WESTMORELAND ST,1220 S. 58th St,17705,1857
3447 N 2ND ST,935 S 53rd St,16729,1740
5041 TORRESDALE AVE,4355 Paul St,1643,252
5041 TORRESDALE AVE,4667 Paul St.,1916,367
1126-36 ARCH ST,735 W. Butler St.,15969,1224
1730 W CHELTENHAM AVE,1429 W Clearfield St,7811,1141
217 E WESTMORELAND ST,8398 Lindbergh Blvd,22106,1557
3447 N 2ND ST,3223 W Clifford St,5952,1007
769 E HILTON ST,100 E. Lehigh Ave.,2195,494
1730 W CHELTENHAM AVE,3223 W Clifford St,12524,1428
1519 REED ST,1419 Wharton St,391,112
1126-36 ARCH ST,2530 Wharton St,7708,952
1126-36 ARCH ST,537 E. Wyoming Ave.,17683,1318
401 N 64TH ST,769 N 39th St,4318,762
912-28 WALNUT ST,2000 N 11th St,4006,874
128-30 CHESTNUT ST,735 W. Butler St.,8194,1530
217 E WESTMORELAND ST,2000 N 11th St,4073,745
128-30 CHESTNUT ST,935 S 53rd St,13380,1270
769 E HILTON ST,4667 Paul St.,3767,723
1519 REED ST,4355 Paul St,15109,1468
401 N 64TH ST,935 S 53rd St,4413,676
128-30 CHESTNUT ST,6500 Castor Ave,15878,1420
618 SOUTH ST,1429 W Clearfield St,8093,1346
128-30 CHESTNUT ST,2059 E Chelten Ave,12686,1003
5041 TORRESDALE AVE,2059 E Chelten Ave,923,180
128-30 CHESTNUT ST,521-23 W. Lehigh Ave.,5615,1037
128-30 CHESTNUT ST,100 E. Lehigh Ave.,7590,945
1126-36 ARCH ST,521-23 W. Lehigh Ave.,5359,1007
618 SOUTH ST,2000 N 11th St,5295,985
401 N 64TH ST,6027 Chestnut St,1490,238
1126-36 ARCH ST,180 E Tulpehocken St,16283,1366
128-30 CHESTNUT ST,6027 Chestnut St,15075,1530
401 N 64TH ST,2530 Wharton St,8067,1287
769 E HILTON ST,935 S 53rd St,17406,1640
401 N 64TH ST,1220 S. 58th St,3784,584
3447 N 2ND ST,2000 N 11th St,3835,660
128-30 CHESTNUT ST,1220 S. 58th St,20157,1437
1126-36 ARCH ST,1429 W Clearfield St,6043,1027
5039 FRANKFORD AVE,100 E. Lehigh Ave.,6174,1124
3447 N 2ND ST,1220 S. 58th St,18289,1922
769 E HILTON ST,2000 N 11th St,4579,921
1519 REED ST,1429 W Clearfield St,8319,1566
5041 TORRESDALE AVE,537 E. Wyoming Ave.,4644,649
128-30 CHESTNUT ST,6434 Castor Ave,15807,1424
128-30 CHESTNUT ST,4520 Benner St,13638,1111
128-30 CHESTNUT ST,4667 Paul St.,12750,1086
1126-36 ARCH ST,6434 Castor Ave,15889,1485
128-30 CHESTNUT ST,537 E. Wyoming Ave.,14730,1273
1519 REED ST,2530 Wharton St,1655,349
2847-67 HOLME AVE,1429 W Clearfield St,14487,1635
1307-09 W NEDRO AVE,3223 W Clifford St,10737,1160
128-30 CHESTNUT ST,2000 N 11th St,4977,944
128-30 CHESTNUT ST,900 E Howell St,15855,1538
1519 REED ST,1510 W Oxford St,5776,1228
1126-36 ARCH ST,6500 Castor Ave,15960,1481
128-30 CHESTNUT ST,4355 Paul St,11560,930
1730 W CHELTENHAM AVE,1220 S. 58th St,24164,2196
128-30 CHESTNUT ST,1429 W Clearfield St,7776,1304
1307-09 W NEDRO AVE,100 E. Lehigh Ave.,7656,1280
128-30 CHESTNUT ST,180 E Tulpehocken St,19967,1473
401 N 64TH ST,3223 W Clifford St,6163,1070
5041 TORRESDALE AVE,169 W. Wyoming Ave.,6180,866
1126-36 ARCH ST,8398 Lindbergh Blvd,17869,1160
5041 TORRESDALE AVE,704 W Girard Ave,11649,927
5041 TORRESDALE AVE,900 E Howell St,3606,669
769 E HILTON ST,1510 W Oxford St,6226,1059
769 E HILTON ST,180 E Tulpehocken St,9689,1439
769 E HILTON ST,521-23 W. Lehigh Ave.,2975,607
1730 W CHELTENHAM AVE,935 S 53rd St,22603,2014
1126-36 ARCH ST,100 E. Lehigh Ave.,7673,1006
1519 REED ST,4700 Wyalusing Ave.,7345,1374
1519 REED ST,935 S 53rd St,5986,1055
1730 W CHELTENHAM AVE,100 E. Lehigh Ave.,10065,1478
5039 FRANKFORD AVE,2000 N 11th St,14317,1404
5041 TORRESDALE AVE,3223 W Clifford St,16091,1073
5041 TORRESDALE AVE,1429 W Clearfield St,7422,1092
769 E HILTON ST,1419 Wharton St,12734,1471
5041 TORRESDALE AVE,2455 S. 3rd Street,15875,983
1519 REED ST,1220 S. 58th St,7546,1236
1519 REED ST,8398 Lindbergh Blvd,10600,1113
5041 TORRESDALE AVE,6434 Castor Ave,4135,593
1519 REED ST,3001 Walnut St.,3375,695
401 N 64TH ST,6434 Castor Ave,20156,1953
5041 TORRESDALE AVE,2000 N 11th St,12985,1169
391 LYCEUM AVE,180 E Tulpehocken St,5044,689
1730 W CHELTENHAM AVE,2455 S. 3rd Street,26424,1983
391 LYCEUM AVE,2000 N 11th St,10142,1383
5041 TORRESDALE AVE,3101 Ridge Ave.,17052,1203
391 LYCEUM AVE,100 E. Lehigh Ave.,10734,1544
401 N 64TH ST,3101 Ridge Ave.,7124,1201
5041 TORRESDALE AVE,935 S 53rd St,19193,1427
1519 REED ST,2059 E Chelten Ave,16235,1542
5041 TORRESDALE AVE,6500 Castor Ave,4207,589
401 N 64TH ST,4667 Paul St.,19606,1989
769 E HILTON ST,8398 Lindbergh Blvd,23367,1521
5041 TORRESDALE AVE,1419 Wharton St,14521,1258
