origin,destination,distance,duration
3101 Ridge Ave.,935 S 53rd St,8566,1303
3101 Ridge Ave.,4700 Wyalusing Ave.,4832,761
3001 Walnut St.,100 E. Lehigh Ave.,11233,1231
3101 Ridge Ave.,2059 E Chelten Ave,14785,1473
3101 Ridge Ave.,2530 Wharton St,9546,1067
521-23 W. Lehigh Ave.,2000 N 11th St,1944,387
100 E. Lehigh Ave.,2059 E Chelten Ave,6678,1136
3001 Walnut St.,2000 N 11th St,7075,1136
1510 W Oxford St,1220 S. 58th St,12283,1619
521-23 W. Lehigh Ave.,3223 W Clifford St,4611,814
735 W. Butler St.,1801 W Diamond St,3979,694
1510 W Oxford St,3001 Walnut St.,4610,1068
521-23 W. Lehigh Ave.,704 W Girard Ave,2834,561
1510 W Oxford St,4700 Wyalusing Ave.,5911,1066
2703 Tasker St,2059 E Chelten Ave,18426,1243
3101 Ridge Ave.,3001 Walnut St.,5674,917
6500 Castor Ave,769 N 39th St,17389,1445
6500 Castor Ave,2000 N 11th St,10821,1531
4700 Wyalusing Ave.,3001 Walnut St.,3912,797
735 W. Butler St.,521-23 W. Lehigh Ave.,2669,453
521-23 W. Lehigh Ave.,537 E. Wyoming Ave.,4478,661
4700 Wyalusing Ave.,2530 Wharton St,8844,1032
6027 Chestnut St,1220 S. 58th St,2573,452
735 W. Butler St.,2059 E Chelten Ave,7282,1169
1510 W Oxford St,180 E Tulpehocken St,11807,1431
1801 W Diamond St,3223 W Clifford St,2731,573
4355 Paul St,3223 W Clifford St,15986,1129
4700 Wyalusing Ave.,3101 Ridge Ave.,4697,768
3101 Ridge Ave.,100 E. Lehigh Ave.,5154,964
3101 Ridge Ave.,1419 Wharton St,9866,1286
521-23 W. Lehigh Ave.,735 W. Butler St.,2726,532
735 W. Butler St.,3223 W Clifford St,6463,1030
735 W. Butler St.,100 E. Lehigh Ave.,3683,659
1510 W Oxford St,2703 Tasker St,9019,1288
4700 Wyalusing Ave.,521-23 W. Lehigh Ave.,8181,1400
3101 Ridge Ave.,900 E Howell St,12555,1227
5901 Larchwood Ave,5901 Larchwood Ave,0,0
704 W Girard Ave,2530 Wharton St,9123,1046
1510 W Oxford St,537 E. Wyoming Ave.,7293,1057
3101 Ridge Ave.,4355 Paul St,13576,1380
521-23 W. Lehigh Ave.,521-23 W. Lehigh Ave.,0,0
735 W. Butler St.,4355 Paul St,5195,848
3001 Walnut St.,2530 Wharton St,4110,798
6500 Castor Ave,4700 Wyalusing Ave.,18016,1521
1510 W Oxford St,935 S 53rd St,10723,1438
4700 Wyalusing Ave.,1220 S. 58th St,4405,771
704 W Girard Ave,6500 Castor Ave,14243,1490
6500 Castor Ave,3101 Ridge Ave.,13624,1298
6500 Castor Ave,2703 Tasker St,22719,1829
3101 Ridge Ave.,4520 Benner St,15416,1481
4700 Wyalusing Ave.,935 S 53rd St,3662,648
735 W. Butler St.,2000 N 11th St,3739,672
6500 Castor Ave,100 E. Lehigh Ave.,8670,1248
521-23 W. Lehigh Ave.,1801 W Diamond St,2801,522
735 W. Butler St.,704 W Girard Ave,5086,901
735 W. Butler St.,180 E Tulpehocken St,6492,999
3001 Walnut St.,6500 Castor Ave,19873,1647
4700 Wyalusing Ave.,1419 Wharton St,9164,1251
6500 Castor Ave,1419 Wharton St,18646,1819
1510 W Oxford St,169 W. Wyoming Ave.,6770,970
6500 Castor Ave,704 W Girard Ave,15775,1488
100 E. Lehigh Ave.,3223 W Clifford St,5949,1113
3101 Ridge Ave.,6434 Castor Ave,13612,1283
3101 Ridge Ave.,521-23 W. Lehigh Ave.,4002,685
2703 Tasker St,2530 Wharton St,813,175
735 W. Butler St.,2530 Wharton St,17788,1407
735 W. Butler St.,935 S 53rd St,19776,1619
4355 Paul St,704 W Girard Ave,11545,983
1801 W Diamond St,4520 Benner St,11104,1747
6500 Castor Ave,3001 Walnut St.,19994,1625
1510 W Oxford St,100 E. Lehigh Ave.,4488,832
3001 Walnut St.,6027 Chestnut St,5370,748
3001 Walnut St.,3223 W Clifford St,4620,740
6500 Castor Ave,2455 S. 3rd Street,20000,1545
6500 Castor Ave,1220 S. 58th St,25983,2160
4355 Paul St,935 S 53rd St,19088,1483
704 W Girard Ave,6434 Castor Ave,14172,1494
1510 W Oxford St,735 W. Butler St.,4997,879
1801 W Diamond St,4667 Paul St.,8934,1438
521-23 W. Lehigh Ave.,900 E Howell St,8427,1169
4700 Wyalusing Ave.,704 W Girard Ave,6377,1129
1510 W Oxford St,704 W Girard Ave,2167,474
5901 Larchwood Ave,6027 Chestnut St,1146,229
5901 Larchwood Ave,1220 S. 58th St,1403,302
704 W Girard Ave,3223 W Clifford St,4654,806
1510 W Oxford St,2530 Wharton St,8735,1226
6500 Castor Ave,1510 W Oxford St,12245,1601
704 W Girard Ave,2059 E Chelten Ave,11051,1073
1510 W Oxford St,1801 W Diamond St,1164,241
3101 Ridge Ave.,8398 Lindbergh Blvd,18325,1349
4700 Wyalusing Ave.,4700 Wyalusing Ave.,0,0
521-23 W. Lehigh Ave.,3101 Ridge Ave.,4004,690
5901 Larchwood Ave,935 S 53rd St,1958,354
735 W. Butler St.,3101 Ridge Ave.,5226,872
521-23 W. Lehigh Ave.,180 E Tulpehocken St,8189,1289
521-23 W. Lehigh Ave.,100 E. Lehigh Ave.,1152,279
735 W. Butler St.,4520 Benner St,7933,1288
521-23 W. Lehigh Ave.,769 N 39th St,7777,1181
1510 W Oxford St,4667 Paul St.,9550,1493
4700 Wyalusing Ave.,537 E. Wyoming Ave.,14205,1136
1510 W Oxford St,900 E Howell St,11218,1587
4700 Wyalusing Ave.,5901 Larchwood Ave,3514,625
1510 W Oxford St,4520 Benner St,16383,1501
